path,bytes,status,err_row,err_col,err_kind,inner_row,inner_col,snippet,inner_snippet
fasmg/tar/tar.inc,1351,ok,,,,,,,
fasmg/tar/zip.inc,2586,ok,,,,,,,
fasmg/tar/zipdemo.asm,159,ok,,,,,,,
fasmg/utility/@@.inc,632,ok,,,,,,,
fasmg/utility/align.inc,2283,ok,,,,,,,
fasmg/utility/inline.inc,1955,fail,31,1,ERROR,31,1,end struc,end struc
fasmg/utility/listing.inc,3049,ok,,,,,,,
fasmg/utility/listing2.inc,3095,ok,,,,,,,
fasmg/utility/struct.inc,1293,ok,,,,,,,
fasmg/utility/xcalm.inc,2212,ok,,,,,,,
fasmg/webassembly/test.asm,294,ok,,,,,,,
fasmg/webassembly/wasm.inc,6835,ok,,,,,,,
fasmg/webassembly/wasmcode.inc,2265,ok,,,,,,,
fasmg/x86-2/iev.alm,1791,ok,,,,,,,
fasmg/x86-2/iset/3dnow.inc,1359,ok,,,,,,,
fasmg/x86-2/iset/aes.inc,1579,ok,,,,,,,
fasmg/x86-2/iset/amx.inc,3426,ok,,,,,,,
fasmg/x86-2/iset/avx.inc,143744,ok,,,,,,,
fasmg/x86-2/iset/bmi.inc,8522,ok,,,,,,,
fasmg/x86-2/iset/cet.inc,2639,ok,,,,,,,
fasmg/x86-2/iset/fpu.inc,17186,ok,,,,,,,
fasmg/x86-2/iset/gfni.inc,821,ok,,,,,,,
fasmg/x86-2/iset/mmx.inc,4579,ok,,,,,,,
fasmg/x86-2/iset/mpx.inc,5963,ok,,,,,,,
fasmg/x86-2/iset/pclmulqdq.inc,815,ok,,,,,,,
fasmg/x86-2/iset/sse.inc,12221,ok,,,,,,,
fasmg/x86-2/iset/sse2.inc,15548,ok,,,,,,,
fasmg/x86-2/iset/sse3.inc,2196,ok,,,,,,,
fasmg/x86-2/iset/sse4.inc,8491,ok,,,,,,,
fasmg/x86-2/iset/vmx.inc,1634,ok,,,,,,,
fasmg/x86-2/test.asm,526,ok,,,,,,,
fasmg/x86-2/x86-2.inc,106576,fail,75,2,ERROR,75,2,end calminstruction,end calminstruction
fasmg/x86/examples/linux/dynamic/elfsym.inc,2320,ok,,,,,,,
fasmg/x86/examples/linux/dynamic/hello.asm,357,ok,,,,,,,
fasmg/x86/examples/linux/dynamic/hello64.asm,363,ok,,,,,,,
fasmg/x86/examples/linux/dynamic/import32.inc,1176,ok,,,,,,,
